regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Botswana,72,Country/Area,913,44.9,47.83,50.42,52.65,55.08,57.92,60.12,61.16,56.48,52.68,50.08,55.87,64.41,69.1,69.86,70.56,71.23,71.85,72.48,73.09,73.72,74.33,74.97,75.6,76.24,76.91,77.58,78.27,78.97,79.68
Eswatini,748,Country/Area,913,40.36,42.59,44.54,46.63,49.87,53.58,57.61,61.18,60.9,52.64,43.63,43.85,50.67,59.31,61.05,62.6,63.96,65.17,66.24,67.2,68.06,68.82,69.51,70.15,70.78,71.41,72.04,72.67,73.29,73.91
Lesotho,426,Country/Area,913,45,47.18,48.5,49.66,51.83,55.04,58.11,59.81,58.58,52,44.22,43.07,48.15,53.51,55.65,57.66,59.48,61.12,62.55,63.85,65.01,66.06,67.02,67.92,68.73,69.5,70.23,70.95,71.65,72.33
Namibia,516,Country/Area,913,40.7,44.53,48.32,51.4,53.88,56.69,58.03,60.69,61.19,55.04,50.64,53.01,60.39,63.02,64.86,66.38,67.64,68.7,69.65,70.5,71.3,72.04,72.78,73.51,74.22,74.93,75.64,76.34,77.06,77.78
South Africa,710,Country/Area,913,44.83,47.42,49.31,51.37,53.99,56.85,59.36,62.26,63.25,58.97,53.9,54.7,60.95,63.62,64.88,65.99,66.96,67.84,68.64,69.4,70.1,70.78,71.44,72.11,72.77,73.43,74.09,74.74,75.42,76.12
Western Africa,914,Subregion,947,33.47,35.49,37.65,39.6,41.85,44.44,46.73,47.73,48.27,48.42,49.54,52.56,55.06,57.32,58.94,60.45,61.83,63.08,64.22,65.26,66.2,67.06,67.85,68.59,69.28,69.93,70.55,71.15,71.73,72.31
Benin,204,Country/Area,914,33.71,36.14,38.41,40.87,43.48,46.22,48.3,51.92,55.14,54.96,56.18,58.56,59.93,61.3,62.84,64.16,65.28,66.26,67.12,67.94,68.68,69.37,70.02,70.66,71.28,71.87,72.46,73.05,73.65,74.26
Burkina Faso,854,Country/Area,914,30.94,33.29,35.59,38.04,40.27,43.39,48.39,49.48,49.33,49.86,51.61,55.27,58.71,60.92,62.98,64.79,66.35,67.67,68.81,69.79,70.67,71.46,72.22,72.91,73.61,74.27,74.92,75.58,76.24,76.89
Cabo Verde,132,Country/Area,914,47.57,48.29,49,52.04,54.9,60.21,62.11,63.84,65.5,67.11,69.92,70.65,71.53,72.7,73.58,74.42,75.21,76,76.77,77.56,78.34,79.12,79.92,80.72,81.5,82.26,82.97,83.61,84.24,84.83
Côte d'Ivoire,384,Country/Area,914,30.17,33.91,38.27,41.95,46.26,49.73,52.06,53.32,52.66,50.44,49.47,51.42,54.63,57.25,58.75,59.98,61.07,62.01,62.88,63.68,64.44,65.13,65.8,66.45,67.08,67.69,68.31,68.89,69.49,70.08
Gambia,270,Country/Area,914,30.25,31.55,32.83,35.83,40.1,44.27,48.24,51.38,52.9,54.95,56.94,58.85,60.32,61.54,63.26,64.69,65.89,66.91,67.8,68.63,69.37,70.05,70.71,71.35,71.96,72.56,73.14,73.74,74.34,74.96
Ghana,288,Country/Area,914,42.17,44.67,46.9,48.62,50.03,51.6,53.06,55.32,57.78,57,57.5,60.13,61.82,63.65,64.94,66.11,67.15,68.09,68.95,69.72,70.45,71.13,71.79,72.42,73.04,73.67,74.3,74.91,75.55,76.18
Guinea,324,Country/Area,914,33.08,34.33,35.38,36.14,37.43,39.89,43.09,47.96,51.32,51.63,51.34,55.55,58.01,61.04,62.64,64.08,65.35,66.47,67.43,68.29,69.06,69.75,70.39,71,71.58,72.15,72.69,73.25,73.8,74.35
Guinea-Bissau,624,Country/Area,914,35.59,36.86,38.17,39.88,41.42,43.14,44.93,46.3,47.91,49.45,51.35,53.31,55.94,57.82,59.38,60.83,62.18,63.41,64.52,65.5,66.39,67.21,67.97,68.66,69.32,69.95,70.56,71.13,71.69,72.27
Liberia,430,Country/Area,914,32.62,33.74,35.05,37.87,40.93,44.53,46.97,46.62,46.2,50.82,52.77,58.1,60.73,63.6,65,66.24,67.32,68.26,69.11,69.87,70.56,71.23,71.84,72.44,73.02,73.6,74.19,74.77,75.34,75.93
Mali,466,Country/Area,914,26.96,27.98,28.61,30.8,34.2,37.71,41.55,44.51,46.57,46.75,49.96,54.02,56.24,58.71,60.54,62.13,63.45,64.57,65.51,66.32,67.06,67.71,68.32,68.9,69.44,69.96,70.46,70.98,71.46,71.95
Mauritania,478,Country/Area,914,39.57,42.71,46.16,49.35,51.31,53.53,56.34,58.89,60.15,60.56,60.94,61.91,63.21,64.61,65.57,66.43,67.19,67.91,68.57,69.2,69.8,70.38,70.94,71.5,72.04,72.6,73.16,73.71,74.29,74.87
Niger,562,Country/Area,914,34.5,34.82,35.29,35.62,36.32,37.76,40.26,42.27,45.01,48.36,51.57,55.34,59.16,61.8,63.62,65.26,66.67,67.88,68.91,69.83,70.61,71.32,71.98,72.59,73.18,73.77,74.36,74.94,75.52,76.1
